class,feature_name,raw_feature_name,feature_type,mean_abs_shap
ham,vouchers today,tfidf__vouchers today,tfidf,0.0016299310314959593
ham,wan,tfidf__wan,tfidf,0.0016268950957407239
ham,good luck,tfidf__good luck,tfidf,0.001619841581275807
ham,fun,tfidf__fun,tfidf,0.0016094386159072396
ham,card,tfidf__card,tfidf,0.0015887481804119465
ham,constitute,tfidf__constitute,tfidf,0.00158367509674477
ham,selected receive,tfidf__selected receive,tfidf,0.0015816324098336333
ham,near,tfidf__near,tfidf,0.0015781450796029679
ham,police,tfidf__police,tfidf,0.0015744086244182608
ham,store,tfidf__store,tfidf,0.001573363972271697
ham,send,tfidf__send,tfidf,0.0015727532633598516
ham,800,tfidf__800,tfidf,0.0015714515618806056
ham,man,tfidf__man,tfidf,0.001563605109764723
ham,welcome,tfidf__welcome,tfidf,0.0015402316181924072
ham,chance claim,tfidf__chance claim,tfidf,0.0015363280348090723
ham,400,tfidf__400,tfidf,0.0015327852852175096
ham,money,tfidf__money,tfidf,0.001520054192183189
ham,easy,tfidf__easy,tfidf,0.0015187642128853512
ham,special,tfidf__special,tfidf,0.0015178201794974284
ham,comes,tfidf__comes,tfidf,0.0014992325725038612
ham,da,tfidf__da,tfidf,0.0014982460571788085
ham,just txt,tfidf__just txt,tfidf,0.001479181885845101
ham,tone ur,tfidf__tone ur,tfidf,0.001479181885845101
ham,dial,tfidf__dial,tfidf,0.0014785686616961087
ham,download,tfidf__download,tfidf,0.0014744745242371428
ham,200,tfidf__200,tfidf,0.0014679693709182319
ham,best,tfidf__best,tfidf,0.001463441977279094
ham,attempt,tfidf__attempt,tfidf,0.0014460223039682617
ham,land,tfidf__land,tfidf,0.0014362161892681553
ham,click urltoken,tfidf__click urltoken,tfidf,0.0014361038563394336
ham,videos,tfidf__videos,tfidf,0.0014256816729160547
ham,flights speak,tfidf__flights speak,tfidf,0.0014218698893434898
ham,holiday flights,tfidf__holiday flights,tfidf,0.0014218698893434898
ham,tmr,tfidf__tmr,tfidf,0.001415972502041031
ham,85023,tfidf__85023,tfidf,0.0014134875726610277
ham,discount vouchers,tfidf__discount vouchers,tfidf,0.0014134875726610277
ham,worth discount,tfidf__worth discount,tfidf,0.0014134875726610277
ham,text yes,tfidf__text yes,tfidf,0.0014086999589344726
ham,phonetoken,tfidf__phonetoken,tfidf,0.0014067020283923797
ham,today's,tfidf__today's,tfidf,0.0013964683644026358
ham,charged,tfidf__charged,tfidf,0.0013938773846293559
ham,reply real,tfidf__reply real,tfidf,0.0013929271477685177
ham,row,tfidf__row,tfidf,0.0013897533365499633
ham,weekend,tfidf__weekend,tfidf,0.0013894145390936198
ham,coming,tfidf__coming,tfidf,0.001375752945951125
ham,announcement,tfidf__announcement,tfidf,0.0013756577042383464
ham,service announcement,tfidf__service announcement,tfidf,0.0013756577042383464
ham,school,tfidf__school,tfidf,0.001374512896158739
ham,better,tfidf__better,tfidf,0.0013739581372677302
ham,im,tfidf__im,tfidf,0.0013683740374303974
ham,run,tfidf__run,tfidf,0.0013679176652831827
ham,fine,tfidf__fine,tfidf,0.0013626315049073145
ham,does,tfidf__does,tfidf,0.0013595162523718917
ham,beautiful,tfidf__beautiful,tfidf,0.001359491236537224
ham,wif,tfidf__wif,tfidf,0.0013507082601671124
ham,i've,tfidf__i've,tfidf,0.0013503448085201123
ham,250k,tfidf__250k,tfidf,0.0013486459190980402
ham,250k dream,tfidf__250k dream,tfidf,0.0013486459190980402
ham,88088,tfidf__88088,tfidf,0.0013486459190980402
ham,active,tfidf__active,tfidf,0.0013486459190980402
ham,dream team,tfidf__dream team,tfidf,0.0013486459190980402
ham,fantasy,tfidf__fantasy,tfidf,0.0013486459190980402
ham,fantasy football,tfidf__fantasy football,tfidf,0.0013486459190980402
ham,gamestar,tfidf__gamestar,tfidf,0.0013486459190980402
ham,gamestar sky,tfidf__gamestar sky,tfidf,0.0013486459190980402
ham,register,tfidf__register,tfidf,0.0013486459190980402
ham,register sky,tfidf__register sky,tfidf,0.0013486459190980402
ham,sky active,tfidf__sky active,tfidf,0.0013486459190980402
